,Unnamed: 0,Unnamed: 5,Star_name.1,Distance.1,Mass.1,Radius.1
0,0,,,,,
1,1,,,,,
2,2,,,,,
3,3,,,,,
4,4,,,,,
5,5,,,,,
6,6,,,,,
7,7,,,,,
8,8,,,,,
9,9,,,,,
10,10,,,,,
11,11,,,,,
12,12,,,,,
13,13,,,,,
14,14,,,,,
15,15,,,,,
16,16,,,,,
17,17,,,,,
18,18,,,,,
19,19,,,,,
20,20,,,,,
21,21,,,,,
22,22,,,,,
23,23,,,,,
24,24,,,,,
25,25,,,,,
26,26,,,,,
27,27,,,,,
28,28,,,,,
29,29,,,,,
30,30,,,,,
31,31,,,,,
32,32,,,,,
33,33,,,,,
34,34,,,,,
35,35,,,,,
36,36,,,,,
37,37,,,,,
38,38,,,,,
39,39,,,,,
40,40,,,,,
41,41,,,,,
42,42,,,,,
43,43,,,,,
44,44,,,,,
45,45,,,,,
46,46,,,,,
47,47,,,,,
48,48,,,,,
49,49,,,,,
50,50,,,,,
51,51,,,,,
52,52,,,,,
53,53,,,,,
54,54,,,,,
55,55,,,,,
56,56,,,,,
57,57,,,,,
58,58,,,,,
59,59,,,,,
60,60,,,,,
61,61,,,,,
62,62,,,,,
63,63,,,,,
64,64,,,,,
65,65,,,,,
66,66,,,,,
67,67,,,,,
68,68,,,,,
69,69,,,,,
70,70,,,,,
71,71,,,,,
72,72,,,,,
73,73,,,,,
74,74,,,,,
75,75,,,,,
76,76,,,,,
77,77,,,,,
78,78,,,,,
79,79,,,,,
80,80,,,,,
81,81,,,,,
82,82,,,,,
83,83,,,,,
84,84,,,,,
85,85,,,,,
86,86,,,,,
87,87,,,,,
88,88,,,,,
89,89,,,,,
90,90,,,,,
91,91,,,,,
92,92,,,,,
93,93,,,,,
94,94,,,,,
95,95,,,,,
96,96,,,,,
97,97,,,,,
98,98,,,,,
99,99,,,,,
100,100,,,,,
101,101,,,,,
102,102,,,,,
103,103,,,,,
104,104,,,,,
105,105,,,,,
106,106,,,,,
107,107,,,,,
108,108,,,,,
109,109,,,,,
110,110,,,,,
111,111,,,,,
112,112,,,,,
113,113,,,,,
114,114,,,,,
115,115,,,,,
116,116,,,,,
117,117,,,,,
118,118,,,,,
119,119,,,,,
120,120,,,,,
121,121,,,,,
122,122,,,,,
123,123,,,,,
124,124,,,,,
125,125,,,,,
126,126,,,,,
127,127,,,,,
128,128,,,,,
129,129,,,,,
130,130,,,,,
131,131,,,,,
132,132,,,,,
133,133,,,,,
134,134,,,,,
135,135,,,,,
136,136,,,,,
137,137,,,,,
138,138,,,,,
139,139,,,,,
140,140,,,,,
141,141,,,,,
142,142,,,,,
143,143,,,,,
144,144,,,,,
145,145,,,,,
146,146,,,,,
147,147,,,,,
148,148,,,,,
149,149,,,,,
150,150,,,,,
151,151,,,,,
152,152,,,,,
153,153,,,,,
154,154,,,,,
155,155,,,,,
156,156,,,,,
157,157,,,,,
158,0,1,,,,
159,1,25.4,,,,
160,2,"13,500",,,,
161,3,2,,,,
162,4,170,,,,
163,5,50,,,,
164,6,150,,,,
165,7,"120,000",,,,
166,8,7.7,,,,
167,9,"60,000",,,,
168,10,"3,000",,,,
169,11,"42,000",,,,
170,12,10.5,,,,
171,13,"25,000",,,,
172,14,520,,,,
173,15,"75,000",,,,
174,16,"20,512",,,,
175,17,43,,,,
176,18,16.6,,,,
177,19,"200,000",,,,
178,20,"34,000",,,,
179,21,290,,,,
180,22,"39,000",,,,
181,23,"36,000",,,,
182,24,30,,,,
183,25,820,,,,
184,26,"9,200",,,,
185,27,700,,,,
186,28,290,,,,
187,29,"380,000",,,,
188,30,"170,000",,,,
189,31,260,,,,
190,32,110,,,,
191,33,"120,000",,,,
192,34,300,,,,
193,35,"5,000",,,,
194,36,"82,000",,,,
195,37,"1,800",,,,
196,38,360,,,,
197,39,"60,000",,,,
198,40,"1,350",,,,
199,41,50,,,,
200,42,"5,500",,,,
201,43,120,,,,
202,44,"2,200",,,,
203,45,90,,,,
204,46,"27,000",,,,
205,47,"2,500",,,,
206,48,780,,,,
207,49,"1,500",,,,
208,50,"43,000",,,,
209,51,"8,300",,,,
210,52,0.52,,,,
211,53,1.22,,,,
212,54,0.34,,,,
213,55,"212,000",,,,
214,56,"5,000,000",,,,
215,57,"2,000",,,,
216,58,"135,000",,,,
217,59,3.57,,,,
218,60,"347,000 - 530,000",,,,
219,61,"610,000",,,,
220,62,"2,472 - 5,800",,,,
221,63,"200,000",,,,
222,64,0.153,,,,
223,65,"4,350",,,,
224,66,38,,,,
225,67,"10,000",,,,
226,68,0.52,,,,
227,69,"9,000",,,,
228,70,"417,000",,,,
229,71,0.072,,,,
230,72,"15,000",,,,
231,73,3.83,,,,
232,74,1.06,,,,
233,75,"178,000 - 270,000",,,,
234,76,"1,700,000",,,,
235,77,"910,000",,,,
236,78,"86,300 - 87,100",,,,
237,79,0.0035,,,,
238,80,?,,,,
239,81,0.0017,,,,
240,82,4.68,,,,
241,83,"8,710,000",,,,
242,84,"3,600,000",,,,
243,85,"282,000",,,,
244,86,"330,000",,,,
245,87,0.98,,,,
246,88,0.0033,,,,
247,89,"229,000",,,,
248,90,0.0004,,,,
249,91,"340-589,000",,,,
250,92,0.0005,,,,
251,93,0.00013,,,,
252,94,?,,,,
253,95,"850,000",,,,
